"Invalid Order.","Invalid Order."
"No shipping information available","No shipping information available"
Subtotal,Subtotal
"Shipping & Handling","Shipping & Handling"
"Discount (%s)","Discount (%s)"
Discount,Discount
Tax,Tax
"Grand Total","Grand Total"
"Grand Total to be Charged","Grand Total to be Charged"
"Your Review (submitted on %1)","Your Review (submitted on %1)"
"This account is not confirmed.","This account is not confirmed."
"Invalid login or password.","Invalid login or password."
"Product(s) Has been Added to cart.","Product(s) Has been Added to cart."
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"Item successfully deleted from wishlist.","Item successfully deleted from wishlist."
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"The subscription has been saved.","The subscription has been saved."
"The subscription has been removed.","The subscription has been removed."
"Can't delete item from wishlist","Can't delete item from wishlist"
"Can't save description %1","Can't save description %1"
"Can't update wishlist","Can't update wishlist"
"Wishlist updated successfully","Wishlist updated successfully"
"Item id is invalid","Item id is invalid"
"Invalid data.","Invalid data."
"Product(s) has successfully moved to cart.","Product(s) has successfully moved to cart."
"There is some error in processing your request","There is some error in processing your request"
"Invalid username or password.","Invalid username or password."
"Device Registered Succesfully","Device Registered Succesfully"
"Device Already Registered","Device Already Registered"
"Please Provide Token","Please Provide Token"
"Please enter a valid email address.","Please enter a valid email address."
"Sorry, but administrator denied subscription for guests.","Sorry, but administrator denied subscription for guests."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
Enabled,Enabled
Disabled,Disabled
Product,Product
Category,Category
"Unable to remove banner image with id %1","Unable to remove banner image with id %1"
"Unable to remove categoryimages record with id %1","Unable to remove categoryimages record with id %1"
"Unable to remove featuredcategories record with id %1","Unable to remove featuredcategories record with id %1"
Others,Others
"Custom Collection","Custom Collection"
"Unable to remove notification record with id %1","Unable to remove notification record with id %1"
"All Store Views","All Store Views"
Edit,Edit
"Assigned Product Ids","Assigned Product Ids"
"Total Sale","Total Sale"
"Total Seller Sale","Total Seller Sale"
"Total Admin Sale","Total Admin Sale"
"Current Commission %","Current Commission %"
"Shop name is available.","Shop name is available."
"Shop name is already exists.","Shop name is already exists."
"Payment Information","Payment Information"
"Payment Information not filled by the Seller yet.","Payment Information not filled by the Seller yet."
SKU,SKU
"By Seller","By Seller"
"Seller Payment Information","Seller Payment Information"
"Seller Name ","Seller Name "
"Seller Email ","Seller Email "
"Total Amount To Be Pay ","Total Amount To Be Pay "
"Add Comment","Add Comment"
Pay,Pay
"Are you sure you want to do this?","Are you sure you want to do this?"
"There was error during fetching results.","There was error during fetching results."
Custom,Custom
Chharo,Chharo
"Set Parameters for User Authentication","Set Parameters for User Authentication"
Username,Username
Password,Password
"API Session Timeout","API Session Timeout"
"Android Push Notification Parameters","Android Push Notification Parameters"
"API key","API key"
Topic,Topic
"eg. local","eg. local"
"iOS Push Notification Parameters","iOS Push Notification Parameters"
"Enable SandBox Push Notification","Enable SandBox Push Notification"
"Banner Information","Banner Information"
"Sort Order","Sort Order"
"Banner Type","Banner Type"
"Product/Category Id","Product/Category Id"
"Store View","Store View"
"Banner Status","Banner Status"
"Add Images","Add Images"
Disable,Disable
"Are you sure you wan't to disable selected records?","Are you sure you wan't to disable selected records?"
Enable,Enable
"Are you sure you wan't to enable selected records?","Are you sure you wan't to enable selected records?"
Delete,Delete
"Are you sure you wan't to delete selected records?","Are you sure you wan't to delete selected records?"
ID,ID
Image,Image
Status,Status
Created,Created
Modified,Modified
"Category Image Information","Category Image Information"
Categories,Categories
"Icon Image","Icon Image"
"Category Id","Category Id"
"Category Name","Category Name"
"Featured Category Information","Featured Category Information"
" Featured Category Information"," Featured Category Information"
" Featured Category Status"," Featured Category Status"
"Add Featured Category","Add Featured Category"
"Notification Information","Notification Information"
"Notification Title","Notification Title"
"Notification Content","Notification Content"
"Notification Type","Notification Type"
"Notification Status","Notification Status"
"Add Notification","Add Notification"
Push,Push
"Confirm Push Notification","Confirm Push Notification"
"Are you sure you want to send push notifications?","Are you sure you want to send push notifications?"
